arrival_ts,predicted_arrival,diff
300,300.18918918918916,-0.1891891891891646
565,564.4888888888889,0.5111111111110631
778,776.4857142857143,1.5142857142857338
1048,1047.2777777777778,0.7222222222221717
1287,1287.3953488372092,-0.39534883720921243
1491,1491.121951219512,-0.12195121951208421
1933,1871.7857142857142,61.21428571428578
1998,1975.531914893617,22.468085106382887
2096,2096.590909090909,-0.5909090909090082
2287,2287.4615384615386,-0.4615384615385665
2563,2563.5263157894738,-0.526315789473756
2676,2676.52,-0.5199999999999818
2853,2851.92,1.0799999999999272
2991,2990.627450980392,0.37254901960795905
3226,3226.064516129032,-0.06451612903219939
3362,3363.4153846153845,-1.4153846153844825
3503,3499.4324324324325,3.567567567567494
3710,3708.448717948718,1.5512820512822145
3852,3852.9791666666665,-0.9791666666665151
3990,3991.1451612903224,-1.1451612903224486
4114,4114.297872340426,-0.2978723404257835
4272,4271.553846153846,0.4461538461537202
4418,4417.694444444444,0.3055555555556566
4554,4555.1125,-1.112500000000182
4700,4700.339285714285,-0.3392857142853245
4843,4842.442857142857,0.5571428571429351
4991,4990.630769230769,0.3692307692308532
5125,5126.011627906977,-1.0116279069770826
5260,5260.125,-0.125
5397,5396.961538461538,0.03846153846188827
5555,5555.156626506024,-0.15662650602371286
5717,5716.510416666667,0.48958333333303017
5912,5912.159090909091,-0.15909090909099177
6104,6104.858490566037,-0.8584905660372897
6272,6272.742857142857,-0.7428571428572468
6442,6441.8125,0.1875
6658,6658.699029126214,-0.6990291262136452
6800,6799.3046875,0.6953125
6995,6995.606382978724,-0.6063829787235591
7147,7146.607407407408,0.3925925925923366
7378,7378.1925925925925,-0.19259259259251849
7619,7618.631578947368,0.3684210526316747
7732,7732.649572649572,-0.649572649572292
7853,7853.489655172414,-0.4896551724141318
7992,7993.245454545455,-1.245454545454777
8116,8114.936170212766,1.0638297872337716
8266,8264.0,2.0
8409,8409.423841059603,-0.42384105960263696
8561,8560.513698630137,0.48630136986321304
8682,8681.639705882353,0.3602941176468448
8817,8816.628787878788,0.37121212121201097
8978,8978.342657342657,-0.34265734265682113
9106,9106.609756097561,-0.6097560975613305
9241,9241.14953271028,-0.14953271028025483
9377,9376.946666666667,0.05333333333328483
9506,9505.67857142857,0.321428571429351
9648,9647.045977011494,0.9540229885060398
9774,9774.474683544304,-0.4746835443038435
9928,9927.767741935484,0.2322580645159178
10046,10046.084848484848,-0.08484848484840768
10194,10194.643356643357,-0.6433566433570377
10323,10322.940298507463,0.059701492536987644
10485,10484.48947368421,0.5105263157893205
10622,10622.0,0.0
10747,10747.815286624204,-0.8152866242035088
10886,10886.603053435114,-0.6030534351139067
11038,11039.083333333334,-1.0833333333339397
11163,11162.622641509433,0.3773584905666212
11352,11351.556962025317,0.4430379746827384
11497,11496.880341880342,0.11965811965819739
11643,11643.064516129032,-0.06451612903219939
11804,11803.106870229007,0.8931297709932551
11950,11950.327868852459,-0.32786885245877784
12078,12077.130952380952,0.8690476190477057
12351,12331.133333333333,19.866666666666788
12443,12439.29347826087,3.7065217391300394
12548,12547.388888888889,0.6111111111113132
12692,12692.473684210527,-0.47368421052669873
12832,12832.036585365853,-0.036585365853170515
12974,12974.666666666666,-0.6666666666660603
13103,13102.71794871795,0.28205128205081564
13404,13394.674698795181,9.32530120481897
13505,13505.5,-0.5
13652,13652.112359550561,-0.1123595505614503
13838,13837.974137931034,0.025862068965579965
14008,14007.452380952382,0.5476190476183547
14174,14174.088235294117,-0.08823529411711206
14325,14324.465753424658,0.5342465753419674
14581,14582.064516129032,-1.0645161290321994
14822,14822.844444444445,-0.8444444444448891
14928,14929.055555555555,-1.0555555555547471
15051,15051.450980392157,-0.4509803921573621
15208,15207.574074074075,0.42592592592518486
15475,15473.850574712644,1.14942528735628
15730,15728.822222222223,1.1777777777770098
15972,15971.274193548386,0.7258064516136074
16321,16320.85393258427,0.1460674157297035
16523,16519.369863013697,3.630136986303114
16828,16827.02564102564,0.9743589743593475
17109,17108.835443037973,0.16455696202683612
17407,17407.166666666668,-0.16666666666787933
17729,17728.919540229886,0.08045977011352079
18014,18015.01265822785,-1.0126582278498972
18284,18284.260273972603,-0.2602739726025902
18568,18568.534090909092,-0.5340909090919013
18790,18790.701492537315,-0.7014925373150618
18979,18978.865384615383,0.13461538461706368
